semester,course_code,course_title,section_id,component,instructor,days,start_time,end_time,units,instruction_mode
Spring 2026,CS 100,Computer Science Principles,6111,Discussion,Patricia Kraft,-c-c-,11:00,12:15,3,in-person
Spring 2026,CS 150,Introductory Computer Programming,6171,Lecture,Lokeshwari Anamalamudi,-c-c-,09:30,18:45,3,in-person
Spring 2026,CS 150,Introductory Computer Programming,6173,Lecture,Rylie Foster,c-c--,14:00,15:15,3,in-person
Spring 2026,CS 150L,Introductory Computer Programming Laboratory,6174,Lab,Aron Chen,c----,17:30,18:45,1,in-person
Spring 2026,CS 150L,Introductory Computer Programming Laboratory,6175,Lab,Shivani Mishra,-c---,08:00,09:15,1,in-person
Spring 2026,CS 150L,Introductory Computer Programming Laboratory,6176,Lab,Shivani Mishra,--c--,17:30,18:45,1,in-person
Spring 2026,CS 150L,Introductory Computer Programming Laboratory,6178,Lab,Aron Chen,---c-,17:30,18:45,1,in-person
Spring 2026,CS 160,Intermediate Computer Programming,6180,Lecture,Patricia Kraft,c-c--,14:00,15:15,3,in-person
Spring 2026,CS 160,Intermediate Computer Programming,6181,Lecture,Patricia Kraft,c-c--,16:00,17:15,3,in-person
Spring 2026,CS 160,Intermediate Computer Programming,6798,Lecture,Siddhi Amilkanthwar,-c-c-,08:00,09:15,3,in-person
Spring 2026,CS 160L,Intermediate Computer Programming Laboratory,6183,Lab,Wenyu Peng,c----,17:30,18:45,1,in-person
Spring 2026,CS 160L,Intermediate Computer Programming Laboratory,6184,Lab,Wenyu Peng,--c--,17:30,18:45,1,in-person
Spring 2026,CS 160L,Intermediate Computer Programming Laboratory,6185,Lab,Wenyu Peng,-c---,08:00,09:15,1,in-person
Spring 2026,CS 160L,Intermediate Computer Programming Laboratory,6799,Lab,Samvedhya Bendapudi,-c---,09:30,10:45,1,in-person
Spring 2026,CS 160L,Intermediate Computer Programming Laboratory,9955,Lab,Yahui Jiang,c----,11:00,12:15,1,in-person
Spring 2026,CS 160L,Intermediate Computer Programming Laboratory,9956,Lab,Yahui Jiang,--c--,11:00,12:15,1,in-person
Spring 2026,CS 200,Introduction to Data Science and Python,7586,Lecture,Hajar Homayouni,c-c--,14:00,15:15,4,in-person
Spring 2026,CS 200,Introduction to Data Science and Python,7587,Tech Acts,Hajar Homayouni,---c-,08:30,10:40,4,in-person
Spring 2026,CS 210,Data Structures,6520,Lecture,Patricia Kraft,-c-c-,08:00,09:15,3,in-person
Spring 2026,CS 210,Data Structures,8074,Lecture,Manju Muralidharan Priya,-c-c-,19:00,20:15,3,in-person
Spring 2026,CS 240,Computer Organization,6525,Lecture,Umut Can Cabuk,-c-c-,14:00,15:15,3,in-person
Spring 2026,CS 240,Computer Organization,6526,Lecture,Dominic Dabish,c-c--,17:30,18:45,3,in-person
Spring 2026,CS 250,Introduction to Software Systems,11642,Lecture,Rakshitha Arun Kumar,c-c-c,11:00,11:50,3,in-person
Spring 2026,CS 250,Introduction to Software Systems,11643,Lecture,Rakshitha Arun Kumar,c-c-c,12:00,12:50,3,in-person
Spring 2026,CS 370,Computer Architecture,6518,Discussion,Tao Xie,c-c--,14:00,15:15,3,in-person
Spring 2026,CS 370,Computer Architecture,6519,Discussion,Tao Xie,c-c--,16:00,17:15,3,in-person
Spring 2026,CS 370,Computer Architecture,11800,Discussion,Umut Can Cabuk,c-c--,12:00,13:15,3,online
Spring 2026,CS 420,Advanced Programming Languages,6522,Discussion,Mary Pourebadi,-c-c-,11:00,12:15,3,in-person
Spring 2026,CS 420,Advanced Programming Languages,9940,Discussion,Shams Al Ajrawi,c-c-c,12:00,12:50,3,online
Spring 2026,CS 450,Introduction to Artificial Intelligence,6817,Lecture,Xuanji Yu,c-c--,19:00,20:15,3,in-person
Spring 2026,CS 450,Introduction to Artificial Intelligence,11529,Lecture,Xiaobai Liu,-c-c-,15:30,16:45,3,in-person
Spring 2026,CS 460,Algorithms,6527,Lecture,Hyunjong Choi,-c-c-,14:00,15:15,3,in-person
Spring 2026,CS 460,Algorithms,6528,Lecture,Manju Muralidharan Priya,-c-c-,17:30,18:45,3,in-person
Spring 2026,CS 460,Algorithms,9111,Lecture,Manju Muralidharan Priya,-c-c-,12:30,13:45,3,in-person
Spring 2026,CS 460,Algorithms,10146,Lecture,Hyunjong Choi,-c-c-,17:30,18:45,3,in-person
Spring 2026,CS 470,UNIX System Administration,7411,Discussion,Peter Bartoli,c----,19:00,21:40,3,in-person
Spring 2026,CS 480,Operating Systems,6523,Lecture,Ben Shen,-c-c-,16:00,17:15,3,in-person
Spring 2026,CS 480,Operating Systems,6524,Lecture,Ben Shen,-c-c-,17:30,18:45,3,in-person
Spring 2026,CS 496,Cloud Computing,11929,Lecture,Ben Shen,-c-c-,19:00,20:15,3,in-person
Spring 2026,CS 496,Senior Capstone Project 2,11939,Tech Acts,Bryan Donyanavard,c-c--,19:00,20:15,3,in-person
Spring 2026,CS 514,Database Theory and Implementation,6243,Discussion,Jianshu Liu,-c-c-,17:30,18:45,3,in-person
Spring 2026,CS 514,Database Theory and Implementation,8944,Discussion,James Gappy,-c-c-,19:00,20:15,3,in-person
Spring 2026,CS 530,Systems Programming,8888,Discussion,Guy Leonard,-c-c-,19:00,20:45,3,in-person
Spring 2026,CS 549,Machine Learning,6246,Lecture,Mary Pourebadi,-c-c-,17:30,18:45,3,in-person
Spring 2026,CS 549,Machine Learning,7410,Lecture,Irfan Khan,-c-c-,17:30,18:45,3,in-person
Spring 2026,CS 556,Robotics,9938,Discussion,Mary Pourebadi,-c-c-,16:00,17:15,3,in-person
Spring 2026,CS 561,Deep Learning for Natural Language Processing,12281,Lecture,Greg Placencia,c-c--,19:00,20:15,3,online
